rand_urban_dist,rand_non_urb_dist,leaid,nlscdsch,sch_name,lea_name,lcity,fipst,lstate,cnty,nmcnty,lat,lon,lstreet,lzip,title_one,sch_level,gslo,gshi,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,school_sample
1,,4108830,410883001483,Spring Mountain Elementary School,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.43715,-122.534809,11645 SE Masa Ln,97086,0,Elementary,KG,5,72,98,93,98,120,,,,,,,,0
1,,4108830,410883000085,Lewelling Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.451251,-122.60764,5325 SE Logus Rd,97222,1,Elementary,KG,5,52,57,60,72,51,,,,,,,,0
1,,4108830,410883000070,Ardenwald Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.457743,-122.625077,8950 SE 36th St,97222,1,Elementary,KG,5,74,70,63,75,77,,,,,,,,0
1,,4108830,410883000094,Milwaukie High School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.441119,-122.63751,2301 SE Willard St.,97222,0,High,9,12,,,,,,,,,221,234,219,257,1
1,,4108830,410883000081,Milwaukie Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.441713,-122.634476,11250 SE 27th Ave,97222,1,Elementary,KG,5,31,23,25,26,24,,,,,,,,0
1,,4108830,410883000072,Bilquist Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.409389,-122.589108,15708 SE Webster Rd,97267,1,Elementary,KG,5,79,82,60,73,82,,,,,,,,0
1,,4108830,410883001379,Rock Creek Middle School,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.41873,-122.52933,14897 SE Parklane Dr,97015,0,Middle,6,8,,,,,,286,300,292,,,,,0
1,,4108830,410883000093,Clackamas High School,NORTH CLACKAMAS SD 12,CLACKAMAS,41,OR,41005,CLACKAMAS COUNTY,45.418358,-122.534825,14486 SE 122nd Ave,97015,0,High,9,12,,,,,,,,,684,640,627,590,0
2,,1200390,120039001388,PHYLLIS R. MILLER ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.854861,-80.180627,840 NE 87TH ST,33138,1,Elementary,PK,5,98,106,96,107,89,,,,,,,,0
2,,1200390,120039000494,DR. HENRY E. PERRINE ACADEMY OF THE ARTS,DADE,PALMETTO BAY,12,FL,12086,MIAMI-DADE COUNTY,25.615213,-80.335726,8851 SW 168TH ST,33157,1,Elementary,KG,5,121,106,136,139,135,,,,,,,,0
2,,1200390,120039000411,EDISON PARK K-8 CENTER,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.835856,-80.204815,500 NW 67TH ST,33150,1,Elementary,PK,8,67,53,51,43,55,61,34,42,,,,,0
2,,1200390,120039000377,BISCAYNE GARDENS ELEMENTARY,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.912775,-80.209131,560 NW 151ST ST,33169,1,Elementary,PK,5,77,79,87,90,68,,,,,,,,0
2,,1200390,120039000383,W. J. BRYAN ELEMENTARY,DADE,NORTH MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.891267,-80.173467,1201 NE 125TH ST,33161,1,Elementary,PK,5,121,100,138,110,111,,,,,,,,0
2,,1200390,120039000397,CORAL GABLES PREPARATORY ACADEMY,DADE,CORAL GABLES,12,FL,12086,MIAMI-DADE COUNTY,25.754219,-80.25774,105 MINORCA AVE,33134,1,Elementary,PK,8,135,111,120,104,118,84,76,80,,,,,0
2,,1200390,120039000451,LEISURE CITY K-8 CENTER,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.498964,-80.43377,14950 SW 288TH ST,33033,1,Elementary,PK,8,113,95,117,97,113,105,101,89,,,,,0
2,,1200390,120039000387,CARIBBEAN K-8 CENTER,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.580358,-80.386275,11990 SW 200TH ST,33177,1,Elementary,PK,8,95,103,111,82,80,88,71,74,,,,,0
2,,1200390,120039007420,YOUNG MEN'S PREPARATORY ACADEMY,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.805044,-80.198944,3001 NW 2ND AVE,33127,1,Other,6,12,,,,,,47,59,37,34,30,18,7,0
2,,1200390,120039000522,E.W.F. STIRRUP ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.770122,-80.354237,330 NW 97TH AVE,33172,1,Elementary,PK,5,129,162,145,170,139,,,,,,,,0
2,,1200390,120039000393,COCONUT GROVE ELEMENTARY SCHOOL,DADE,COCONUT GROVE,12,FL,12086,MIAMI-DADE COUNTY,25.728974,-80.243169,3351 MATILDA ST,33133,1,Elementary,PK,5,68,71,57,78,80,,,,,,,,0
2,,1200390,120039000482,OAK GROVE ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.91961,-80.184239,15640 NE 8TH AVE,33162,1,Elementary,PK,5,97,100,87,95,81,,,,,,,,0
2,,1200390,120039005861,WESTLAND HIALEAH SENIOR HIGH SCHOOL,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.85795,-80.319481,4000 W 18TH AVE,33012,1,High,9,12,,,,,,,,,407,421,487,443,0
2,,1200390,120039008101,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER N,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.789966,-80.195164,1550 N MIAMI AVE,33136,0,Elementary,PK,PK,,,,,,,,,,,,,0
2,,1200390,120039000558,JOHN F. KENNEDY MIDDLE SCHOOL,DADE,NORTH MIAMI BEACH,12,FL,12086,MIAMI-DADE COUNTY,25.929763,-80.179169,1075 NE 167TH ST,33162,1,Middle,6,8,,,,,,369,357,368,,,,,0
2,,1200390,120039007563,ANDOVER MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.966209,-80.199207,121 NE 207TH ST,33179,1,Middle,6,8,,,,,,162,189,195,,,,,0
2,,1200390,120039000376,BISCAYNE ELEMENTARY SCHOOL,DADE,MIAMI BEACH,12,FL,12086,MIAMI-DADE COUNTY,25.861335,-80.126544,800 77TH ST,33141,1,Elementary,PK,5,116,115,120,130,93,,,,,,,,0
2,,1200390,120039000418,HENRY M. FLAGLER ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.772048,-80.280834,5222 NW 1ST ST,33126,1,Elementary,PK,5,120,124,122,109,125,,,,,,,,0
2,,1200390,120039000419,FLAMINGO ELEMENTARY SCHOOL,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.85318,-80.267337,701 E 33RD ST,33013,1,Elementary,PK,5,81,96,110,119,111,,,,,,,,0
2,,1200390,120039000422,GLORIA FLOYD ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.651045,-80.371823,12650 SW 109TH AVE,33176,1,Elementary,PK,5,71,75,84,86,80,,,,,,,,0
2,,1200390,120039000590,CORAL GABLES SENIOR HIGH SCHOOL,DADE,CORAL GABLES,12,FL,12086,MIAMI-DADE COUNTY,25.733293,-80.263139,450 BIRD RD,33146,1,High,9,12,,,,,,,,,797,881,820,863,0
2,,1200390,120039000430,GREYNOLDS PARK ELEMENTARY SCHOOL,DADE,NORTH MIAMI BEACH,12,FL,12086,MIAMI-DADE COUNTY,25.940019,-80.16994,1536 NE 179TH ST,33162,1,Elementary,PK,5,119,113,111,112,100,,,,,,,,0
2,,1200390,120039000431,GULFSTREAM ELEMENTARY SCHOOL,DADE,CUTLER BAY,12,FL,12086,MIAMI-DADE COUNTY,25.573188,-80.34923,20900 SW 97TH AVE,33189,1,Elementary,PK,5,88,107,124,113,103,,,,,,,,0
2,,1200390,120039003048,JOHN I. SMITH K-8 CENTER,DADE,DORAL,12,FL,12086,MIAMI-DADE COUNTY,25.820833,-80.36437,10415 NW 52ND ST,33178,1,Elementary,PK,8,181,185,217,205,258,206,190,212,,,,,0
2,,1200390,120039000436,THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION C,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.835511,-80.209891,757 NW 66TH ST,33150,0,Elementary,PK,KG,,,,,,,,,,,,,0
2,,1200390,120039000441,KENDALE LAKES ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.692562,-80.425515,8000 SW 142ND AVE,33183,1,Elementary,PK,5,107,100,130,140,158,,,,,,,,0
2,,1200390,120039000512,SHADOWLAWN ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.820996,-80.198577,149 NW 49TH ST,33127,1,Elementary,PK,5,39,39,42,35,34,,,,,,,,0
2,,1200390,120039002714,RUBEN DARIO MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.771446,-80.354904,350 NW 97TH AVE,33172,1,Middle,6,8,,,,,,196,191,197,,,,,0
2,,1200390,120039007520,DR. ROLANDO ESPINOSA K-8 CENTER,DADE,DORAL,12,FL,12086,MIAMI-DADE COUNTY,25.851258,-80.379971,11250 NW 86TH ST,33178,1,Elementary,PK,8,101,121,164,157,146,166,183,210,,,,,0
2,,1200390,120039000530,VILLAGE GREEN ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.737903,-80.392882,12265 SW 34TH ST,33175,1,Elementary,PK,5,49,52,48,45,61,,,,,,,,0
2,,1200390,120039002147,OLIVER HOOVER ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.68164,-80.436686,9050 HAMMOCKS BLVD,33196,1,Elementary,PK,5,95,110,137,100,132,,,,,,,,0
2,,1200390,120039000455,LORAH PARK ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.821353,-80.247454,5160 NW 31ST AVE,33142,1,Elementary,PK,5,54,51,54,69,59,,,,,,,,0
2,,1200390,120039007580,MIAMI-DADE ONLINE ACADEMY- VIRTUAL INSTRUCTION PROGRAM,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.78976,-80.190441,1501 NE 2ND AVE  STE 336,33132,0,Other,KG,12,11,15,21,21,32,27,36,28,21,24,26,16,0
2,,1200390,120039003050,CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL,DADE,MIAMI GARDENS,12,FL,12086,MIAMI-DADE COUNTY,25.950079,-80.287671,5241 NW 195TH DR,33055,1,Elementary,PK,5,101,119,135,116,127,,,,,,,,0
2,,1200390,120039000584,SOUTH MIAMI MIDDLE SCHOOL,DADE,SOUTH MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.714427,-80.303477,6750 SW 60TH ST,33143,1,Middle,6,8,,,,,,296,306,320,,,,,0
2,,1200390,120039000463,MIAMI LAKES K-8 CENTER,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.903148,-80.30906,14250 NW 67TH AVE,33014,1,Elementary,PK,8,148,122,150,180,155,120,148,130,,,,,0
2,,1200390,120039000464,MIAMI PARK ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.869052,-80.235656,2225 NW 103RD ST,33147,1,Elementary,PK,5,37,39,48,34,33,,,,,,,,0
2,,1200390,120039007516,CITRUS HEALTH SIPP/CRISIS,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.859793,-80.321716,4175 W 20TH AVE,33012,1,Other,KG,12,0,0,0,0,0,1,0,0,1,0,1,0,0
2,,1200390,120039000610,NORTH MIAMI SENIOR HIGH SCHOOL,DADE,NORTH MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.90088,-80.18312,13110 NE 8TH AVE,33161,1,High,9,12,,,,,,,,,602,619,630,613,0
2,,1200390,120039000470,MYRTLE GROVE K-8 CENTER,DADE,OPA LOCKA,12,FL,12086,MIAMI-DADE COUNTY,25.934858,-80.251954,3125 NW 176TH ST,33056,1,Elementary,PK,8,46,53,61,62,42,47,51,40,,,,,0
2,,1200390,120039007377,MANDARIN LAKES K-8 ACADEMY,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.507566,-80.390675,12225 SW 280TH ST,33032,1,Elementary,PK,8,119,132,134,118,104,122,99,77,,,,,0
2,,1200390,120039000473,NORLAND ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.951722,-80.216954,19340 NW 8TH CT,33169,1,Elementary,PK,5,100,115,131,118,118,,,,,,,,0
2,,1200390,120039000476,NORTH COUNTY K-8 CENTER,DADE,MIAMI GARDENS,12,FL,12086,MIAMI-DADE COUNTY,25.963572,-80.255352,3250 NW 207TH ST,33056,1,Elementary,PK,8,53,50,51,41,35,37,35,25,,,,,0
2,,1200390,120039000481,NORWOOD ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.955557,-80.22727,19810 NW 14TH CT,33169,1,Elementary,PK,5,81,78,69,81,70,,,,,,,,0
2,,1200390,120039000484,AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.825985,-80.231242,5536 NW 21ST AVE,33142,1,Elementary,PK,5,74,54,73,65,57,,,,,,,,0
2,,1200390,120039002734,DR. GILBERT L. PORTER ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.665206,-80.45257,15851 SW 112TH ST,33196,1,Elementary,PK,5,99,109,117,129,150,,,,,,,,0
2,,1200390,120039007533,NORMAN S. EDELCUP/SUNNY ISLES BEACH K-8,DADE,SUNNY ISLES BEACH,12,FL,12086,MIAMI-DADE COUNTY,25.945033,-80.122947,201 182ND DR,33160,1,Elementary,PK,8,225,229,250,265,257,261,258,236,,,,,0
2,,1200390,120039000452,LAURA C. SAUNDERS ELEMENTARY SCHOOL,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.462781,-80.484296,505 SW 8TH ST,33030,1,Elementary,PK,5,87,94,120,103,95,,,,,,,,0
2,,1200390,120039000489,PALM LAKES ELEMENTARY SCHOOL,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.890235,-80.316493,7450 W 16TH AVE,33014,1,Elementary,PK,5,96,80,139,100,119,,,,,,,,0
2,,1200390,120039000581,ROCKWAY MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.74249,-80.347708,9393 SW 29TH TER,33165,1,Middle,6,8,,,,,,409,394,345,,,,,0
2,,1200390,120039000515,DR. FREDERICA S. WILSON/SKYWAY ELEMENTARY SCHOOL,DADE,MIAMI GARDENS,12,FL,12086,MIAMI-DADE COUNTY,25.961646,-80.277684,4555 NW 206TH TER,33055,1,Elementary,PK,5,39,35,41,43,39,,,,,,,,0
2,,1200390,120039000572,NORTH DADE MIDDLE SCHOOL,DADE,MIAMI GARDENS,12,FL,12086,MIAMI-DADE COUNTY,25.916818,-80.231074,1840 NW 157TH ST,33054,1,Middle,6,8,,,,,,164,168,186,,,,,0
2,,1200390,120039000462,MIAMI HEIGHTS ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.603727,-80.380382,17661 SW 117TH AVE,33177,1,Elementary,PK,5,119,119,138,159,129,,,,,,,,0
2,,1200390,120039003345,DR. MICHAEL M. KROP SENIOR HIGH,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.971517,-80.173698,1410 NE 215TH ST,33179,1,High,9,12,,,,,,,,,685,710,703,602,0
2,,1200390,120039000500,RAINBOW PARK ELEMENTARY SCHOOL,DADE,OPA LOCKA,12,FL,12086,MIAMI-DADE COUNTY,25.914441,-80.231543,15355 NW 19TH AVE,33054,1,Elementary,PK,5,35,42,61,74,66,,,,,,,,0
2,,1200390,120039000381,JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.844725,-80.302647,2530 W 10TH AVE,33010,1,Elementary,PK,5,96,82,97,105,104,,,,,,,,0
2,,1200390,120039000502,REDONDO ELEMENTARY SCHOOL,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.483587,-80.490698,18480 SW 304TH ST,33030,1,Elementary,PK,3,176,131,154,,,,,,,,,,0
2,,1200390,120039000371,AVOCADO ELEMENTARY SCHOOL,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.494036,-80.466221,16969 SW 294TH ST,33030,1,Elementary,PK,3,133,96,98,,,,,,,,,,0
2,,1200390,120039000457,FRANK CRAWFORD MARTIN K-8 CENTER,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.636458,-80.37542,14250 BOGGS DR,33176,1,Elementary,PK,8,120,120,125,129,130,129,131,131,,,,,0
2,,1200390,120039000513,SHENANDOAH ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.762269,-80.22812,1023 SW 21ST AVE,33135,1,Elementary,PK,5,143,143,164,154,170,,,,,,,,0
2,,1200390,120039000508,GERTRUDE K. EDELMAN/SABAL PALM,DADE,NORTH MIAMI BEACH,12,FL,12086,MIAMI-DADE COUNTY,25.932807,-80.186042,17101 NE 7TH AVE,33162,1,Elementary,PK,5,97,78,93,105,86,,,,,,,,0
2,,1200390,120039000483,OJUS ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.948738,-80.149453,18600 W DIXIE HWY,33180,1,Elementary,PK,5,160,152,132,151,146,,,,,,,,0
2,,1200390,120039000472,NATURAL BRIDGE ELEMENTARY SCHOOL,DADE,NORTH MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.90543,-80.16587,1650 NE 141ST ST,33181,1,Elementary,PK,5,96,85,118,95,70,,,,,,,,0
2,,1200390,120039007164,MIAMI CORAL PARK HIGH ADULT EDUCATION,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.755554,-80.339681,8865 SW 16TH ST,33165,0,,,,,,,,,,,,,,,,0
2,,1200390,120039002699,JOELLA GOOD ELEMENTARY SCHOOL,DADE,HIALEAH,12,FL,12086,MIAMI-DADE COUNTY,25.943678,-80.303301,6350 NW 188TH TER,33015,1,Elementary,PK,5,171,179,145,166,183,,,,,,,,0
2,,1200390,120039008119,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.506226,-80.392072,28205 SW 124TH PL,33033,0,Elementary,PK,PK,,,,,,,,,,,,,0
2,,1200390,120039000562,MADISON MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.85187,-80.253336,3400 NW 87TH ST,33147,1,Middle,6,8,,,,,,164,185,133,,,,,0
2,,1200390,120039000556,HOMESTEAD MIDDLE SCHOOL,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.476052,-80.482003,650 NW 2ND AVE,33030,1,Middle,6,8,,,,,,168,219,203,,,,,0
2,,1200390,120039007634,TERRA ENVIRONMENTAL RESEARCH INSTITUTE,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.692608,-80.370375,11005 SW 84TH ST,33173,1,High,9,12,,,,,,,,,469,489,440,385,0
2,,1200390,120039007396,HIALEAH GARDENS MIDDLE SCHOOL,DADE,HIALEAH GARDENS,12,FL,12086,MIAMI-DADE COUNTY,25.879849,-80.34791,11690 NW 92ND AVE,33018,1,Middle,6,8,,,,,,582,589,564,,,,,0
2,,1200390,120039000385,BUNCHE PARK ELEMENTARY SCHOOL,DADE,MIAMI GARDENS,12,FL,12086,MIAMI-DADE COUNTY,25.920404,-80.23828,16001 BUNCHE PARK DR,33054,1,Elementary,PK,5,61,62,58,62,54,,,,,,,,0
2,,1200390,120039007358,SCHOOL FOR ADVANCED STUDIES HOMESTEAD,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.474175,-80.474277,500 COLLEGE TER,33030,1,High,11,12,,,,,,,,,,,54,59,0
2,,1200390,120039000578,REDLAND MIDDLE SCHOOL,DADE,HOMESTEAD,12,FL,12086,MIAMI-DADE COUNTY,25.537253,-80.451829,16001 SW 248TH ST,33031,1,Middle,6,8,,,,,,158,137,185,,,,,0
2,,1200390,120039000505,ROCKWAY ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.74428,-80.346563,2790 SW 93RD CT,33165,1,Elementary,PK,5,77,53,67,83,82,,,,,,,,0
2,,1200390,120039000492,PARKVIEW ELEMENTARY SCHOOL,DADE,OPA LOCKA,12,FL,12086,MIAMI-DADE COUNTY,25.935566,-80.234442,17631 NW 20TH AVE,33056,1,Elementary,PK,5,43,43,50,37,44,,,,,,,,0
2,,1200390,120039000413,LILLIE C. EVANS K-8 CENTER,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.843966,-80.229157,1895 NW 75TH ST,33147,1,Elementary,PK,8,39,40,44,28,22,43,33,33,,,,,0
2,,1200390,120039002145,MIAMI SPRINGS SENIOR HIGH ADULT,DADE,MIAMI SPRINGS,12,FL,12086,MIAMI-DADE COUNTY,25.830626,-80.294443,751 DOVE AVE,33166,0,,,,,,,,,,,,,,,,0
2,,1200390,120039000400,CORAL TERRACE ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.748673,-80.305691,6801 SW 24TH ST,33155,1,Elementary,PK,5,57,72,59,77,62,,,,,,,,0
2,,1200390,120039000456,LUDLAM ELEMENTARY SCHOOL,DADE,SOUTH MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.702595,-80.300803,6639 SW 74TH ST,33143,1,Elementary,PK,5,57,43,57,62,53,,,,,,,,0
2,,1200390,120039000606,MIAMI SENIOR HIGH SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.771108,-80.235948,2450 SW 1ST ST,33135,1,High,9,12,,,,,,,,,728,748,734,733,0
2,,1200390,120039003569,MIAMI YOUTH ACADEMY,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.690893,-80.369035,10855 SW 84 ST,33173,0,Other,6,12,,,,,,0,0,5,7,9,5,1,0
