,school,district,city,state,county,address,zip,school_sample,cleaned
1300,Barry Elementary,Yuba City Unified,Yuba City,CA,Sutter County,1255 Barry Rd.,95991,1,Barry Elementary School
1302,Albert Powell Continuation,Yuba City Unified,Yuba City,CA,Sutter County,1875 Clark Ave.,95991,1,Albert Powell Continuation
1303,King Avenue Elementary,Yuba City Unified,Yuba City,CA,Sutter County,630 King Ave.,95991,1,King Avenue Elementary School
1304,Gray Avenue Middle,Yuba City Unified,Yuba City,CA,Sutter County,808 Gray Ave.,95991,1,Gray Avenue Middle School
1306,Yuba City High,Yuba City Unified,Yuba City,CA,Sutter County,850 B St.,95991,1,Yuba City High School
1313,Pcm High School,Pcm Comm School District,Monroe,IA,Jasper County,400 East Highway 163,50170,1,Pcm High School
1314,Monroe Elementary School,Pcm Comm School District,Monroe,IA,Jasper County,400 N Jasper,50170,1,Monroe Elementary School
1315,Prairie City Elementary School,Pcm Comm School District,Prairie City,IA,Jasper County,309 East Plainsmen Road,50228,1,Prairie City Elementary School
1316,Pcm Middle School,Pcm Comm School District,Prairie City,IA,Jasper County,407 Plainsmen Rd,50228,1,Pcm Middle School
1318,Gifford C. Cole Middle,Eastside Union Elementary,Lancaster,CA,Los Angeles County,3126 E. Ave. I,93535,1,Gifford C. Cole Middle School
1320,Eastside Academy/Transitional Learning Center,Eastside Union Elementary,Lancaster,CA,Los Angeles County,44958 30th St. E.,93535,1,Eastside Academy/Transitional Learning Center
1322,Tierra Bonita Elementary,Eastside Union Elementary,Lancaster,CA,Los Angeles County,44820 N. 27th St. E.,93535,1,Tierra Bonita Elementary School
1323,Galva Elem School,Galva Cusd 224,Galva,IL,Henry County,224 Morgan Rd,61434,1,Galva Elem School
1324,Galva Jr-Sr High School,Galva Cusd 224,Galva,IL,Henry County,224 Morgan Rd,61434,1,Galva Jr-Sr High School
1326,Bush Elementary School,Laurel County,London,KY,Laurel County,1832 E Laurel Rd,40741,1,Bush Elementary School
1331,North Laurel High School,Laurel County,London,KY,Laurel County,1300 East Hal Rogers Parkway,40741,1,North Laurel High School
1334,North Laurel Middle School,Laurel County,London,KY,Laurel County,101 Johnson Rd,40741,1,North Laurel Middle School
1338,Johnson Elementary School,Laurel County,London,KY,Laurel County,1781 McWhorter Rd,40741,1,Johnson Elementary School
1339,South Laurel High School,Laurel County,London,KY,Laurel County,201 South Laurel Rd,40744,1,South Laurel High School
1341,South Laurel Middle School,Laurel County,London,KY,Laurel County,223 S Laurel Rd,40744,1,South Laurel Middle School
1344,Goldenview Colony School - 04,Mccook Central School District 43-7,Salem,SD,Mccook County,25473 438th Ave,57058,1,Goldenview Colony School - 04
1345,Mccook Central Middle School - 03,Mccook Central School District 43-7,Salem,SD,Mccook County,200 E Essex,57058,1,Mccook Central Middle School - 03
1346,Mccook Central Elementary - 02,Mccook Central School District 43-7,Salem,SD,Mccook County,200 E Essex,57058,1,Mccook Central Elementary - 02
1347,Mccook Central High School - 01,Mccook Central School District 43-7,Salem,SD,Mccook County,200 E Essex,57058,1,Mccook Central High School - 01
1348,Okay Es,Okay,Okay,OK,Wagoner County,8611 N  49th Street East,74446,1,Okay Elementary School
1349,Okay Hs,Okay,Okay,OK,Wagoner County,8611 N  49th Street East,74446,1,Okay High School
1350,Westville Es,Westville,Westville,OK,Adair County,500 W Chincapin,74965,1,Westville Elementary School
1351,Westville Jhs,Westville,Westville,OK,Adair County,500 W Chincapin,74965,1,Westville Junior High School
1352,Westville Hs,Westville,Westville,OK,Adair County,500 W Chincapin,74965,1,Westville High School
1353,Simons Middle School,Fleming County,Flemingsburg,KY,Fleming County,242 W Water St,41041,1,Simons Middle School
1354,Hillsboro Elementary School,Fleming County,Hillsboro,KY,Fleming County,7348 Hillsboro Rd,41049,1,Hillsboro Elementary School
1357,Ewing Elementary School,Fleming County,Ewing,KY,Fleming County,5651 Elizaville Rd.,41039,1,Ewing Elementary School
1358,Fleming County High School,Fleming County,Flemingsburg,KY,Fleming County,1658 Elizaville Rd,41041,1,Fleming County High School
1359,Caledonia Elem.,Valley R-Vi,Caledonia,MO,Washington County,1 VIKING DR,63631,1,Caledonia Elem.
1361,Valley High,Valley R-Vi,Caledonia,MO,Washington County,1 VIKING DR,63631,1,Valley High School
1366,Adelanto Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,17931 Jonathan St.,92301,1,Adelanto Elementary School
1367,Melva Davis Academy Of Excellence,Adelanto Elementary,Victorville,CA,San Bernardino County,15831 Diamond Rd.,92394,1,Melva Davis Academy Of Excellence
1370,Mesa Linda Middle,Adelanto Elementary,Victorville,CA,San Bernardino County,13001 Mesa Linda Rd.,92392,1,Mesa Linda Middle School
1373,Eagle Ranch Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,12545 Eagle Ranch Pkwy.,92301,1,Eagle Ranch Elementary School
