random_order,id,level,dist_id,district,school,state,county,city,address,zip,cleaned
18,440090000213,Elementary,4400900.0,Providence,Asa Messer El. School,RI,Providence County,Providence,1655 Westminster Street,02909,Asa Messer Elementary. School
19,400075302853,Middle,4000753.0,Dove Schools Of Tulsa,Dove Science Academy Tulsa Jhs,OK,Tulsa County,Tulsa,280 S  Memorial,74112,Dove Science Academy Tulsa Junior High School
20,A0503069,Elementary,Nan,Nan,New Life Alternatives Christian Academy,PA,Philadelphia,Philadelphia,1993 N 63RD ST,19151,New Life Alternatives Christian Academy
21,Bb160018,Combined Elem/Sec,Nan,Nan,Morrow Valley Christian Academy,AR,Washington,Cane Hill,19008 HALE MTN. RD,72717,Morrow Valley Christian Academy
22,A0502151,Elementary,Nan,Nan,Walnut Creek School,MO,Daviess,Jamesport,24404 320TH ST,64648,Walnut Creek School
23,010297001150,Elementary,102970.0,Selma City,Cedar Park Elementary School,AL,Dallas County,Selma,1101 Woodrow Ave,36701,Cedar Park Elementary School
24,A9504569,Elementary,Nan,Nan,St Paul Catholic Grade School,WI,Marathon,Mosinee,404 HIGH ST,54455,St Paul Catholic Grade School
25,Bb161222,Combined Elem/Sec,Nan,Nan,Evangel Christian Academy,LA,Caddo,Shreveport,5720 BUNCOMBE RD,71129,Evangel Christian Academy
26,560207000560,High,5602070.0,Park County School District # 6,Heart Mountain Academy,WY,Park County,Cody,919 Cody Avenue,82414,Heart Mountain Academy
27,Bb140257,Combined Elem/Sec,Nan,Nan,The Monroe School,DC,District Of Columbia,Washington,601 50TH ST NE,20019,The Monroe School
28,01412964,Combined Elem/Sec,Nan,Nan,Rowland Hall,UT,Salt Lake,Salt Lake City,720 S GUARDSMAN WAY,84108,Rowland Hall
29,240042000731,High,2400420.0,Howard County Public Schools,Glenelg High,MD,Howard County,Glenelg,14025 Burnt Woods Rd,21737,Glenelg High School
30,080028606704,High,800286.0,Division Of Youth Services,Platte Valley Youth Services Center,CO,Weld County,Greeley,2200 O STREET,80631,Platte Valley Youth Services Center
31,050774001537,High,507740.0,Cross County School District,Cross Cnty High A New Tech Sch,AR,Cross County,Cherry Valley,21 COUNTY RD 215,72324,Cross Cnty High A New Tech School
32,220087002441,High,2200870.0,Lafayette Parish,Edward J Sam Accelerated School Of Lafayette,LA,Lafayette Parish,Lafayette,200 18th St.,70501,Edward J Sam Accelerated School Of Lafayette
33,A9103339,Combined Elem/Sec,Nan,Nan,Isaac Newton Christian Academy,IA,Linn,Cedar Rapids,1635 LINMAR DR NE,52402,Isaac Newton Christian Academy
34,250003200553,Elementary,2500032.0,Lawrence Family Development Charter (District),Lawrence Family Development Charter School,MA,Essex County,Lawrence,34 West Street,01841,Lawrence Family Development Charter School
35,330330200721,Elementary,3303302.0,Microsociety Academy Charter School Of Southern Nh,Microsociety Academy Charter School Of Southern Nh,NH,Hillsborough County,Nashua,591 West Hollis Street,03062,Microsociety Academy Charter School Of Southern Nh
36,160000501108,High,1600005.0,Idaho Virtual High School Inc.,Richard Mckenna Charter School - Onsite,ID,Elmore County,Mountain Home,675 SOUTH HASKETT STREET,83647,Richard Mckenna Charter School - Onsite
37,362277003204,High,3622770.0,Perry Central School District,Perry Junior-Senior High School,NY,Wyoming County,Perry,33 WATKINS AVE,14530,Perry Junior-Senior High School
38,A9304241,Combined Elem/Sec,Nan,Nan,Akwesasne Freedom School,NY,Franklin,Rooseveltown,PO BOX 290,13683,Akwesasne Freedom School
39,193075001774,High,1930750.0,West Branch Comm School District,West Branch High School,IA,Cedar County,West Branch,900 W Main,52358,West Branch High School
40,400077402860,Middle,4000774.0,Schl Arts/Sci (Charter),Tulsa Schl Arts Sciences Ms,OK,Tulsa County,Tulsa,1202 W Easton,74127,Tulsa Schl Arts Sciences Middle School
41,00488946,Elementary,Nan,Nan,Our Lady Of Unity School,KS,Wyandotte,Kansas City,2646 S 34TH ST,66106,Our Lady Of Unity School
42,A1302295,Elementary,Nan,Nan,County Line School,OH,Ashtabula,Windsor,7001 STATE ROUTE 322,44099,County Line School
43,A1301865,Combined Elem/Sec,Nan,Nan,Newton Learning Center,NV,Washoe,Reno,4895 VILLAGE GREEN PKWY,89519,Newton Learning Center
44,050000100217,Middle,500001.0,Dewitt School District,Dewitt Middle School,AR,Arkansas County,Dewitt,1209 W 16TH ST,72042,Dewitt Middle School
45,231456001012,Middle,2314560.0,Rsu 59/Msad 59,Madison Junior High School,ME,Somerset County,Madison,205 Main Street,04950,Madison Junior High School
46,090186000342,Middle,901860.0,Hamden School District,Hamden Middle School,CT,New Haven County,Hamden,2623 Dixwell Ave.,06518,Hamden Middle School
47,310410000516,Middle,3104100.0,Blair Community Schools,Gerald Otte Blair Middle Sch,NE,Washington County,Blair,555 JACKSON ST,68008,Gerald Otte Blair Middle School
48,470369002247,High,4703690.0,Rutherford County,Central Magnet School,TN,Rutherford County,Murfreesboro,701 East Main ST,37130,Central Magnet School
49,00249919,Combined Elem/Sec,Nan,Nan,Fairwinds Christian School,DE,New Castle,Bear,801 SEYMOUR RD,19701,Fairwinds Christian School
50,320000100896,Elementary,3200001.0,State-Sponsored Charter Schools,Mater Academy Northern Nevada,NV,Washoe County,Reno,2680 E. Ninth Street,89512,Mater Academy Northern Nevada
51,A9104428,Elementary,Nan,Nan,Shalom Torah Academy,NJ,Monmouth,Morganville,70 AMBOY RD,07751,Shalom Torah Academy
52,220087001598,Elementary,2200870.0,Lafayette Parish,Evangeline Elementary School,LA,Lafayette Parish,Lafayette,610 East Butcher Switch Road,70507,Evangeline Elementary School
53,510243000994,Middle,5102430.0,Mathews Co Pblc Schs,Thomas Hunter Middle,VA,Mathews County,Mathews,Rt 611 387 Church St,23109,Thomas Hunter Middle School
54,A9103244,Elementary,Nan,Nan,Naval Academy Primary School,MD,Anne Arundel,Annapolis,74 GREENBURY POINT RD,21402,Naval Academy Primary School
55,A0303211,Combined Elem/Sec,Nan,Nan,East End Academy,VA,Newport News,Newport News,804 CITY CENTER BLVD,23606,East End Academy
56,350009030019,Middle,3500090.0,Animas Public Schools,Animas Middle,NM,Hidalgo County,Animas,1 PANTHER DR,88020,Animas Middle School
57,320000100904,Elementary,3200001.0,State-Sponsored Charter Schools,Somerset Academy North Las Vegas,NV,Clark County,North Las Vegas,385 W. Centennial Parkway,89084,Somerset Academy North Las Vegas
58,A9104161,Combined Elem/Sec,Nan,Nan,Shiloh Christian School,ND,Burleigh,Bismark,1915 SHILOH DR,58503,Shiloh Christian School
59,A1101154,Elementary,Nan,Nan,Florence M. Lombard Christian School,ME,York,Saco,PO BOX 1298,04072,Florence M. Lombard Christian School
60,560073000011,Elementary,5600730.0,Albany County School District #1,Harmony Elementary,WY,Albany County,Laramie,20 Lewis Road,82070,Harmony Elementary School
61,363012004057,High,3630120.0,Watertown City School District,Watertown Senior High School,NY,Jefferson County,Watertown,1335 WASHINGTON ST,13601,Watertown Senior High School
62,450366001048,Elementary,4503660.0,Spartanburg 07,Mary H. Wright Elementary,SC,Spartanburg County,Spartanburg,457 South Church Street,29306,Mary H. Wright Elementary School
63,A1703794,Elementary,Nan,Nan,Allegheny Christian School,WV,Pocahontas,Boyer,64 SHEETS RD,99999,Allegheny Christian School
64,A0303292,Elementary,Nan,Nan,Medina Academy,WA,King,Bellevue,16242 NORTHUP WAY,98008,Medina Academy
65,550882001019,Elementary,5508820.0,Marshfield Unified School District,Madison Elementary,WI,Wood County,Marshfield,510 N Palmetto Ave,54449,Madison Elementary School
66,080306001379,Elementary,803060.0,Colorado Springs School District No. 11 In The County Of E,King Elementary School,CO,El Paso County,Colorado Springs,6110 SAPPORO DRIVE,80918,King Elementary School
67,A1100924,Elementary,Nan,Nan,Kona Adventist Christian School,HI,Hawaii,Captain Cook,PO BOX 739,96704,Kona Adventist Christian School
68,00249613,Elementary,Nan,Nan,St Peter Cathedral School,DE,New Castle,Wilmington,310 W 6TH ST,19801,St Peter Cathedral School
69,370035003296,Elementary,3700350.0,Aristotle Preparatory Academy,Aristotle Preparatory Academy,NC,Mecklenburg County,Charlotte,8101 Fallsdale Drive,28214,Aristotle Preparatory Academy
70,090136001507,High,901360.0,Eastern Connecticut Regional,Arts At The Capitol Theater Magnet School (Act),CT,Windham County,Willimantic,896 Main Street,06226,Arts At The Capitol Theater Magnet School (Act)
71,480005412152,Middle,4800264.0,Kipp Texas Public Schools,Kipp Sharpstown Colege Prep,TX,Nan,Houston,8440 WESTPARK DR,77063,Kipp Sharpstown Colege Prep
72,090003101405,High,900031.0,Stamford Academy,Stamford Academy,CT,Fairfield County,Stamford,229 North St.,06901,Stamford Academy
73,370472002682,Middle,3704720.0,Wake County Schools,Heritage Middle,NC,Wake County,Wake Forest,3400 Rogers Road,27587,Heritage Middle School
74,490063001390,Middle,4900630.0,Nebo District,Salem Junior High,UT,Utah County,Salem,598 NORTH MAIN,84653,Salem Junior High School
75,01433634,Combined Elem/Sec,Nan,Nan,Broadwater Academy,VA,Northampton,Exmore,3500 BROADWATER RD,23350,Broadwater Academy
76,A9102801,Combined Elem/Sec,Nan,Nan,Fellowship Baptist School,KS,Seward,Liberal,PO BOX 393,67905,Fellowship Baptist School
77,100001000079,Elementary,1000010.0,Edison (Thomas A.) Charter School,Edison (Thomas A.) Charter School,DE,New Castle County,Wilmington,2200 North Locust Street,19802,Edison (Thomas A.) Charter School
78,410192001791,Elementary,4101920.0,Beaverton Sd 48J,Arco Iris Spanish Immersion School,OR,Washington County,Beaverton,13600 SW Allen Blvd,97005,Arco Iris Spanish Immersion School
79,530669002266,Elementary,5306690.0,Peninsula School District,Voyager Elementary,WA,Pierce County,Gig Harbor,5615 Kopachuck Dr NW,98335,Voyager Elementary School
80,360012805750,Middle,3600128.0,Kipp Tech Valley Charter School,Kipp Tech Valley Charter School,NY,Albany County,Albany,321 NORTHERN BLVD,12201,Kipp Tech Valley Charter School
81,A0509226,Combined Elem/Sec,Nan,Nan,Riverstone Montessori Academy,GA,Cobb,Marietta,455 CASTEEL RD SW,30064,Riverstone Montessori Academy
82,421899007548,High,4218990.0,Philadelphia City Sd,The Workshop School,PA,Philadelphia County,Philadelphia,221 S Hanson St,19139,The Workshop School
83,A0109621,Elementary,Nan,Nan,Thaddeus Stevens School,VT,Caledonia,Lyndon Center,PO BOX 274,05850,Thaddeus Stevens School
84,220054000673,Middle,2200540.0,East Baton Rouge Parish,Community School For Apprenticeship Learning,LA,East Baton Rouge Parish,Baton Rouge,1555 Madison Ave,70802,Community School For Apprenticeship Learning
85,550039002549,High,5500390.0,Appleton Area School District,Appleton Eschool,WI,Outagamie County,Appleton,2121 Emmers Dr,54915,Appleton Eschool
86,510126000516,High,5101260.0,Fairfax Co Pblc Schs,Lake Braddock Secondary,VA,Fairfax County,Burke,9200 Burke Lake Rd,22015,Lake Braddock Secondary
87,340075903196,Elementary,3400759.0,Beloved Community Charter School,Beloved Community Charter School,NJ,Hudson County,Jersey City,508 Grand Street,07302,Beloved Community Charter School
88,530591000891,Middle,5305910.0,Northshore School District,Northshore Middle School,WA,King County,Bothell,12101 NE 160 ST,98011,Northshore Middle School
89,02001352,Elementary,Nan,Nan,Anchor Lutheran School,AK,Anchorage,Anchorage,8100 ARCTIC BLVD,99518,Anchor Lutheran School
90,530033303541,Middle,5300333.0,Summit Public School: Olympus,Summit Public School: Olympus,WA,Pierce County,Tacoma,409 Puyallup Ave,98421,Summit Public School: Olympus
91,080336006645,Middle,803360.0,School District No. 1 In The County Of Denver And State Of C,Compass Academy,CO,Denver County,Denver,911 SOUTH HAZEL COURT,80219,Compass Academy
92,Bb140358,Combined Elem/Sec,Nan,Nan,Loveland Academy,HI,Honolulu,Kailua,PO BOX 339,96734,Loveland Academy
93,500824400344,High,5000393.0,Mill River Unified School District,Mill River Union High School,VT,Rutland County,North Clarendon,2321 Middle Road,05759,Mill River Union High School
94,040817001149,Middle,408170.0,Sunnyside Unified District (4407),Sierra 2-8 School,AZ,Pima County,Tucson,5801 S DEL MORAL BLVD,85706,Sierra 2-8 School
95,201062000678,High,2010620.0,Perry Public Schools,Perry Lecompton High,KS,Jefferson County,Perry,404 Lecompton Rd,66073,Perry Lecompton High School
96,540123001012,Elementary,5401230.0,Raleigh County Schools,Stratton Elementary,WV,Raleigh County,Beckley,1129 SOUTH FAYETTE STREET,25801,Stratton Elementary School
97,010294001144,Elementary,102940.0,Scottsboro City,Brownwood Elementary School,AL,Jackson County,Scottsboro,305 Bingham St,35768,Brownwood Elementary School
98,401575000741,Elementary,4015750.0,Jennings,Jennings Public School,OK,Pawnee County,Jennings,475 North Oak Street,74038,Jennings Public School
99,A9103900,Combined Elem/Sec,Nan,Nan,Pinehaven Christian Childrens Ranch,MT,Lake,Saint Ignatius,PO BOX 940,59865,Pinehaven Christian Childrens Ranch
100,381299000431,High,3812990.0,Minnewaukan 5,Minnewaukan High School,ND,Benson County,Minnewaukan,4675 Hwy 281 N,58351,Minnewaukan High School
101,A0301625,Elementary,Nan,Nan,Islamic School Of Louisville,KY,Jefferson,Louisville,8215 OLD WESTPORT RD,40222,Islamic School Of Louisville
102,250711001085,Elementary,2507110.0,Lynn,Tracy,MA,Essex County,Lynn,35 Walnut Street,01905,Tracy
103,330654000431,High,3306540.0,Sunapee School District,Sunapee Sr. High School,NH,Sullivan County,Sunapee,10 North Rd.,03782,Sunapee Sr. High School
104,450111000941,Elementary,4501110.0,Beaufort 01,Hilton Head Island Early Childhood Center,SC,Beaufort County,Hilton Head Island,165 Pembroke Drive,29926,Hilton Head Island Early Childhood Center
105,240009000196,Elementary,2400090.0,Baltimore City Public Schools,Eutaw-Marshburn Elementary,MD,Baltimore City,Baltimore,1624 Eutaw Pl,21217,Eutaw-Marshburn Elementary School
106,A9902654,Combined Elem/Sec,Nan,Nan,Grace Baptist Academy,MS,Jackson,Ocean Springs,3707 BIENVILLE BLVD,39564,Grace Baptist Academy
107,340078803423,High,3400788.0,Lead Charter School,Lead Charter School,NJ,Essex County,Newark,201 Bergen Street,07103,Lead Charter School
108,350225000826,Middle,3502250.0,Roswell Independent Schools,Sidney Gutierrez Middle,NM,Chaves County,Roswell,69 E. GAIL HARRIS,88203,Sidney Gutierrez Middle School
109,110003000191,Middle,1100030.0,District Of Columbia Public Schools,Stuart-Hobson Ms (Capitol Hill Cluster),DC,District Of Columbia,Washington,410 E St NE,20002,Stuart-Hobson Middle School (Capitol Hill Cluster)
110,00735498,Combined Elem/Sec,Nan,Nan,Winona Christian School,MS,Montgomery,Winona,1014 S APPLEGATE,38967,Winona Christian School
111,440002900494,Elementary,4400029.0,Rise Prep Mayoral Academy,Rise Prep Mayoral Academy,RI,Providence County,Woonsocket,1 Social Street,02895,Rise Prep Mayoral Academy
112,A9105330,Combined Elem/Sec,Nan,Nan,Summit Christian Academy,OK,Tulsa,Broken Arrow,200 E BROADWAY ST,74012,Summit Christian Academy
113,A0702309,Combined Elem/Sec,Nan,Nan,Liahona Preparatory Academy,UT,Utah,Pleasant Grove,2464 W 450 S,84062,Liahona Preparatory Academy
114,480021113815,Middle,4800211.0,Idea Public Schools,Idea Kyle College Preparatory,TX,Nan,Kyle,640 PHILOMENA DR,78640,Idea Kyle College Preparatory
115,450090001602,High,4500900.0,Anderson 05,Anderson  Five Charter School,SC,Anderson County,Anderson,1225 South McDuffie Street,29624,Anderson  Five Charter School
116,490007101178,Elementary,4900071.0,Canyon Rim Academy,Canyon Rim Academy,UT,Salt Lake County,Salt Lake City,3005 S 2900 E,84109,Canyon Rim Academy
117,A9104551,Combined Elem/Sec,Nan,Nan,Farmington Mennonite School,NM,San Juan,Farmington,26 RD 5577,87401,Farmington Mennonite School
118,420076006107,High,4200760.0,Boys Latin Of Philadelphia Cs,Boys Latin Of Philadelphia Cs,PA,Philadelphia County,Philadelphia,5501 Cedar Avenue,19143,Boys Latin Of Philadelphia Cs
119,01264459,Combined Elem/Sec,Nan,Nan,Thomas Sumter Academy,SC,Sumter,Rembert,5265 CAMDEN HWY,29128,Thomas Sumter Academy
120,551578003380,High,5515780.0,Waukesha School District,Eachieve Academy - Wisconsin,WI,Waukesha County,Waukesha,222 Maple Ave,53186,Eachieve Academy - Wisconsin
121,00909795,Combined Elem/Sec,Nan,Nan,Evangel Christian Academy,NM,Bernalillo,Albuquerque,4501 MONTGOMERY BLVD NE,87109,Evangel Christian Academy
122,A1703875,Combined Elem/Sec,Nan,Nan,Green River Christian Academy,WY,Sweetwater,Green River,800 HOMESTEAD DR,82935,Green River Christian Academy
123,02023387,Combined Elem/Sec,Nan,Nan,Logos School,ID,Latah,Moscow,110 BAKER ST,83843,Logos School
124,450231000961,Middle,4502310.0,Greenville 01,Langston Charter Middle,SC,Greenville County,Greenville,1950 Woodruff Road,29607,Langston Charter Middle School
125,110003000111,Elementary,1100030.0,District Of Columbia Public Schools,Bunker Hill Es,DC,District Of Columbia,Washington,1401 Michigan Ave NE,20017,Bunker Hill Elementary School
126,200426001161,High,2004260.0,Burlingame Public School,Burlingame Junior/Senior High,KS,Osage County,Burlingame,417 North Dacotah,66413,Burlingame Junior/Senior High School
127,00909106,Elementary,Nan,Nan,San Felipe De Neri School,NM,Bernalillo,Albuquerque,2000 LOMAS BLVD NW,87104,San Felipe De Neri School
128,00331112,Combined Elem/Sec,Nan,Nan,Grace Lutheran School,ID,Bannock,Pocatello,1350 BALDY AVE,83201,Grace Lutheran School
129,411317001786,High,4113170.0,West Linn-Wilsonville Sd 3J,Arts And Technology High School,OR,Clackamas County,Wilsonville,29796 SW Town Center Loop,97070,Arts And Technology High School
130,A0900683,Combined Elem/Sec,Nan,Nan,Charter Oak Education Dba Sterling East,CT,Hartford,Bloomfield,1294 BLUE HILLS AVE UNIT C,06002,Charter Oak Education Dba Sterling East
131,300993000277,High,3009930.0,Ennis K-12 Schools,Ennis High School,MT,Madison County,Ennis,223 Charles Ave,59729,Ennis High School
132,273180001009,Elementary,2731800.0,Rochester Public School District,Pinewood Elementary,MN,Olmsted County,Rochester,1900 PINEWOOD RD SE,55904,Pinewood Elementary School
133,00937257,Elementary,Nan,Nan,St Paul Lutheran School,NY,Monroe,Hilton,158 EAST AVE,14468,St Paul Lutheran School
134,390136605556,High,3901366.0,Horizon Science Academy Dayton High School,Horizon Science Academy Dayton High School,OH,Montgomery County,Dayton,250 Shoup Mill Rd,45415,Horizon Science Academy Dayton High School
135,A1171769,Combined Elem/Sec,Nan,Nan,The Auburn School,VA,Fairfax,Chantilly,3800 CONCORDE PKWY STE 500,20151,The Auburn School
136,01042866,Elementary,Nan,Nan,St John'S Academy,ND,Stutsman,Jamestown,215 5TH ST SE,58401,St John'S Academy
137,00023866,Combined Elem/Sec,Nan,Nan,Anchorage Christian Schools,AK,Anchorage,Anchorage,6575 E NORTHERN LIGHTS BLVD,99504,Anchorage Christian Schools
138,050435000163,Elementary,504350.0,Clarendon School District,Clarendon Elementary School,AR,Monroe County,Clarendon,115 EASON LN,72029,Clarendon Elementary School
139,231386000638,High,2313860.0,Winslow Schools,Winslow High School,ME,Kennebec County,Winslow,20 Danielson St,04901,Winslow High School
140,00326179,Elementary,Nan,Nan,Our Lady Of Good Counsel School,HI,Honolulu,Pearl City,1530 HOOLANA ST,96782,Our Lady Of Good Counsel School
141,160018301098,High,1600183.0,Pathways In Education - Nampa Inc.,Pathways In Education: Nampa,ID,Canyon County,Nampa,124 HOLLY STREET,83686,Pathways In Education: Nampa
142,340007300531,High,3400073.0,University Academy Charter High School,University Academy Charter High School,NJ,Hudson County,Jersey City,275 WEST SIDE AVENUE,07305,University Academy Charter High School
143,A0701522,Elementary,Nan,Nan,Little Flower Montessori School,NJ,Middlesex,Edison,6 KILMER RD STE O,08817,Little Flower Montessori School
144,A9902658,Elementary,Nan,Nan,New Hope Christian School,MS,Hinds,Jackson,5202 WATKINS DR,39206,New Hope Christian School
145,317263001119,Elementary,3176470.0,Scottsbluff Public Schools,Lake Minatare School,NE,Scotts Bluff County,Minatare,280548 COUNTY ROAD K,69356,Lake Minatare School
146,360104106263,High,3601041.0,New Visions Charter High School For The Humanities,New Visions Charter High School For The Humanities,NY,New York County,Bronx,99 TERRACE VIEW AVE-RM 360,10463,New Visions Charter High School For The Humanities
147,180822001409,Elementary,1808220.0,Northern Wells Community Schools,Lancaster Central School,IN,Wells County,Bluffton,3240 E 300 N,46714,Lancaster Central School
148,293146002180,Elementary,2931460.0,Weaubleau R-Iii,Weaubleau Elem.,MO,Hickory County,Weaubleau,509 N CENTER,65774,Weaubleau Elem.
149,120039008463,Elementary,1200390.0,Miami-Dade,Mater International Academy,FL,Miami-Dade County,Miami,3405 NW 27TH AVE,33142,Mater International Academy
150,130183003342,Elementary,1301830.0,Dougherty County,Robert H Harvey Elementary School,GA,Dougherty County,Albany,1305 E 2nd Ave,31705,Robert H Harvey Elementary School
151,170993006490,High,1709930.0,City Of Chicago Sd 299,Yccs-Progressive Leadership Acad,IL,Cook County,Chicago,6620 S Dr M L K Dr,60637,Yccs-Progressive Leadership Academy
152,330405000202,High,3304050.0,Keene School District,Keene High School,NH,Cheshire County,Keene,43 Arch St.,03431,Keene High School
153,160096001045,High,1600960.0,Preston Joint District,Southeast Idaho Professional Technical School,ID,Oneida County,Malad City,25 EAST 50 SOUTH SUITE A,83252,Southeast Idaho Professional Technical School
154,080399000521,Elementary,803990.0,Poudre School District R-1,Bennett Elementary School,CO,Larimer County,Fort Collins,1125 BENNETT ROAD,80521,Bennett Elementary School
155,A9902961,Elementary,Nan,Nan,White Mountain Waldorf School,NH,Carroll,Conway,PO BOX 1069,03818,White Mountain Waldorf School
156,010117002090,High,101170.0,Decatur City,Horizon High School,AL,Morgan County,Decatur,809 Church St NE,35601,Horizon High School
157,330459000249,Elementary,3304590.0,Manchester School District,Hallsville School,NH,Hillsborough County,Manchester,275 Jewett St.,03103,Hallsville School
158,020060000269,Elementary,200600.0,Fairbanks North Star Borough School District,Joy Elementary,AK,Fairbanks North Star Borough,Fairbanks,24 Margaret St,99701,Joy Elementary School
159,370114003257,High,3701140.0,Davidson County Schools,Yadkin Valley Regional Career Academy,NC,Davidson County,Lexington,2065 E. Holly Grove Road,27292,Yadkin Valley Regional Career Academy
160,290843000246,High,2908430.0,Chadwick R-I,Chadwick High,MO,Christian County,Chadwick,7090 STATE HWY 125 S,65629,Chadwick High School
161,381988000882,Middle,3819880.0,Williston 1,Bakken Elementary School,ND,Williams County,Williston,502 W Highland Dr,58801,Bakken Elementary School
162,291165000418,Middle,2911650.0,Excelsior Springs 40,Excelsior Springs Middle,MO,Clay County,Excelsior Springs,701 CROWN HILL RD,64024,Excelsior Springs Middle School
163,260014200804,High,2600142.0,Countryside Academy,Countryside Academy  Middlehigh School,MI,Berrien County,Benton Harbor,4800 MEADOWBROOK RD,49022,Countryside Academy  Middlehigh School
164,00755302,Elementary,Nan,Nan,Messiah Lutheran School,MO,Jackson,Independence,613 S MAIN ST,64050,Messiah Lutheran School
165,180294000386,High,1802940.0,East Gibson School Corporation,Waldo J Wood Memorial High,IN,Gibson County,Oakland City,943 Franklin St,47660,Waldo J Wood Memorial High School
166,270017903047,Elementary,2700179.0,Nerstrand Charter School,Nerstrand Charter School,MN,Rice County,Nerstrand,205 S 2ND ST,55053,Nerstrand Charter School
167,A1500040,Combined Elem/Sec,Nan,Nan,Aurora Tutoring School & Resource Center,AK,Fairbanks North Star,Fairbanks,201 OLD STEESE HWY # 6,99701,Aurora Tutoring School & Resource Center
168,A9500178,Elementary,Nan,Nan,Eudora Christian School,AR,Chicot,Eudora,310 NORTH MAIN ST.,71640,Eudora Christian School
169,280261001059,High,2802610.0,Leland School Dist,Leland High School,MS,Washington County,Leland,402 E. Third Street,38756,Leland High School
170,210306000805,Elementary,2103060.0,Johnson County,W R Castle Memorial Elementary School,KY,Johnson County,Wittensville,3936 Us 23 N,41274,W R Castle Memorial Elementary School
171,230567000145,High,2305670.0,Falmouth Public Schools,Falmouth High School,ME,Cumberland County,Falmouth,74 Woodville Road,04105,Falmouth High School
172,482364013067,Elementary,4823640.0,Houston Isd,Mark White El,TX,Harris County,Houston,2515 OLD FARM RD,77063,Mark White Elementary School
173,320012000308,Elementary,3200120.0,Elko County School District,West Wendover Elementary School,NV,Elko County,Wendover,2332 Florence Way,89833,West Wendover Elementary School
174,390026304803,Elementary,3900263.0,Pleasant Community Digital,Pleasant Community Digital,OH,Marion County,Marion,1105 Owens Rd W,43302,Pleasant Community Digital
175,A0901092,Combined Elem/Sec,Nan,Nan,Old Paths Christian Academy,FL,Polk,Mulberry,5795 IMPERIAL LAKES BLVD,33860,Old Paths Christian Academy
176,240039000692,Elementary,2400390.0,Harford County Public Schools,Forest Lakes Elementary,MD,Harford County,Forest Hill,100 Osborne Pkwy,21050,Forest Lakes Elementary School
177,250003800581,High,2500038.0,Francis W. Parker Charter Essential (District),Francis W. Parker Charter Essential School,MA,Middlesex County,Devens,49 Antietam St,01434,Francis W. Parker Charter Essential School
