random_order,id,sch_level,dist_id,dist_name,sch_name,lstate,county,city,lat,lon,street,zip,private
18,440090000213,Elementary,4400900,PROVIDENCE,Asa Messer El. School,RI,PROVIDENCE COUNTY,PROVIDENCE,42,-71,1655 Westminster Street,2909,
19,400075302853,Middle,4000753,DOVE SCHOOLS OF TULSA,DOVE SCIENCE ACADEMY TULSA JHS,OK,TULSA COUNTY,TULSA,36,-96,280 S  Memorial,74112,
20,A0503069,Elementary,,,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,PA,PHILADELPHIA,PHILADELPHIA,40,-75,1993 N 63RD ST,19151,1
21,BB160018,Combined elem/sec,,,MORROW VALLEY CHRISTIAN ACADEMY,AR,WASHINGTON,CANE HILL,36,-94,19008 HALE MTN. RD,72717,1
22,A0502151,Elementary,,,WALNUT CREEK SCHOOL,MO,DAVIESS,JAMESPORT,40,-94,24404 320TH ST,64648,1
23,010297001150,Elementary,102970,SELMA CITY,Cedar Park Elementary School,AL,DALLAS COUNTY,SELMA,32,-87,1101 Woodrow Ave,36701,
24,A9504569,Elementary,,,ST PAUL CATHOLIC GRADE SCHOOL,WI,MARATHON,MOSINEE,45,-90,404 HIGH ST,54455,1
25,BB161222,Combined elem/sec,,,EVANGEL CHRISTIAN ACADEMY,LA,CADDO,SHREVEPORT,32,-94,5720 BUNCOMBE RD,71129,1
26,560207000560,High,5602070,PARK COUNTY SCHOOL DISTRICT # 6,Heart Mountain Academy,WY,PARK COUNTY,CODY,45,-109,919 Cody Avenue,82414,
27,BB140257,Combined elem/sec,,,THE MONROE SCHOOL,DC,DISTRICT OF COLUMBIA,WASHINGTON,39,-77,601 50TH ST NE,20019,1
28,01412964,Combined elem/sec,,,ROWLAND HALL,UT,SALT LAKE,SALT LAKE CITY,41,-112,720 S GUARDSMAN WAY,84108,1
29,240042000731,High,2400420,HOWARD COUNTY PUBLIC SCHOOLS,Glenelg High,MD,HOWARD COUNTY,GLENELG,39,-77,14025 Burnt Woods Rd,21737,
30,080028606704,High,800286,DIVISION OF YOUTH SERVICES,PLATTE VALLEY YOUTH SERVICES CENTER,CO,WELD COUNTY,GREELEY,40,-105,2200 O STREET,80631,
31,050774001537,High,507740,CROSS COUNTY SCHOOL DISTRICT,CROSS CNTY HIGH A NEW TECH SCH,AR,CROSS COUNTY,CHERRY VALLEY,35,-91,21 COUNTY RD 215,72324,
32,220087002441,High,2200870,LAFAYETTE PARISH,Edward J Sam Accelerated School of Lafayette,LA,LAFAYETTE PARISH,LAFAYETTE,30,-92,200 18th St.,70501,
33,A9103339,Combined elem/sec,,,ISAAC NEWTON CHRISTIAN ACADEMY,IA,LINN,CEDAR RAPIDS,42,-92,1635 LINMAR DR NE,52402,1
34,250003200553,Elementary,2500032,LAWRENCE FAMILY DEVELOPMENT CHARTER (DISTRICT),Lawrence Family Development Charter School,MA,ESSEX COUNTY,LAWRENCE,43,-71,34 West Street,1841,
35,330330200721,Elementary,3303302,MICROSOCIETY ACADEMY CHARTER SCHOOL OF SOUTHERN NH,MicroSociety Academy Charter School of Southern NH,NH,HILLSBOROUGH COUNTY,NASHUA,43,-72,591 West Hollis Street,3062,
36,160000501108,High,1600005,IDAHO VIRTUAL HIGH SCHOOL INC.,RICHARD MCKENNA CHARTER SCHOOL - ONSITE,ID,ELMORE COUNTY,MOUNTAIN HOME,43,-116,675 SOUTH HASKETT STREET,83647,
37,362277003204,High,3622770,PERRY CENTRAL SCHOOL DISTRICT,PERRY JUNIOR-SENIOR HIGH SCHOOL,NY,WYOMING COUNTY,PERRY,43,-78,33 WATKINS AVE,14530,
38,A9304241,Combined elem/sec,,,AKWESASNE FREEDOM SCHOOL,NY,FRANKLIN,ROOSEVELTOWN,45,-75,PO BOX 290,13683,1
39,193075001774,High,1930750,WEST BRANCH COMM SCHOOL DISTRICT,West Branch High School,IA,CEDAR COUNTY,WEST BRANCH,42,-91,900 W Main,52358,
40,400077402860,Middle,4000774,SCHL ARTS/SCI (CHARTER),TULSA SCHL ARTS SCIENCES MS,OK,TULSA COUNTY,TULSA,36,-96,1202 W Easton,74127,
41,00488946,Elementary,,,OUR LADY OF UNITY SCHOOL,KS,WYANDOTTE,KANSAS CITY,39,-95,2646 S 34TH ST,66106,1
42,A1302295,Elementary,,,COUNTY LINE SCHOOL,OH,ASHTABULA,WINDSOR,42,-81,7001 STATE ROUTE 322,44099,1
43,A1301865,Combined elem/sec,,,NEWTON LEARNING CENTER,NV,WASHOE,RENO,39,-120,4895 VILLAGE GREEN PKWY,89519,1
44,050000100217,Middle,500001,DEWITT SCHOOL DISTRICT,DEWITT MIDDLE SCHOOL,AR,ARKANSAS COUNTY,DEWITT,34,-91,1209 W 16TH ST,72042,
45,231456001012,Middle,2314560,RSU 59/MSAD 59,Madison Junior High School,ME,SOMERSET COUNTY,MADISON,45,-70,205 Main Street,4950,
46,090186000342,Middle,901860,HAMDEN SCHOOL DISTRICT,Hamden Middle School,CT,NEW HAVEN COUNTY,HAMDEN,41,-73,2623 Dixwell Ave.,6518,
47,310410000516,Middle,3104100,BLAIR COMMUNITY SCHOOLS,GERALD OTTE BLAIR MIDDLE SCH,NE,WASHINGTON COUNTY,BLAIR,42,-96,555 JACKSON ST,68008,
48,470369002247,High,4703690,RUTHERFORD COUNTY,Central Magnet School,TN,RUTHERFORD COUNTY,MURFREESBORO,36,-86,701 East Main ST,37130,
49,00249919,Combined elem/sec,,,FAIRWINDS CHRISTIAN SCHOOL,DE,NEW CASTLE,BEAR,40,-76,801 SEYMOUR RD,19701,1
50,320000100896,Elementary,3200001,STATE-SPONSORED CHARTER SCHOOLS,Mater Academy Northern Nevada,NV,WASHOE COUNTY,RENO,40,-120,2680 E. Ninth Street,89512,
51,A9104428,Elementary,,,SHALOM TORAH ACADEMY,NJ,MONMOUTH,MORGANVILLE,40,-74,70 AMBOY RD,7751,1
52,220087001598,Elementary,2200870,LAFAYETTE PARISH,Evangeline Elementary School,LA,LAFAYETTE PARISH,LAFAYETTE,30,-92,610 East Butcher Switch Road,70507,
53,510243000994,Middle,5102430,MATHEWS CO PBLC SCHS,THOMAS HUNTER MIDDLE,VA,MATHEWS COUNTY,MATHEWS,37,-76,Rt 611 387 Church St,23109,
54,A9103244,Elementary,,,NAVAL ACADEMY PRIMARY SCHOOL,MD,ANNE ARUNDEL,ANNAPOLIS,39,-76,74 GREENBURY POINT RD,21402,1
55,A0303211,Combined elem/sec,,,EAST END ACADEMY,VA,NEWPORT NEWS,NEWPORT NEWS,37,-76,804 CITY CENTER BLVD,23606,1
56,350009030019,Middle,3500090,ANIMAS PUBLIC SCHOOLS,ANIMAS MIDDLE,NM,HIDALGO COUNTY,ANIMAS,32,-109,1 PANTHER DR,88020,
57,320000100904,Elementary,3200001,STATE-SPONSORED CHARTER SCHOOLS,Somerset Academy North Las Vegas,NV,CLARK COUNTY,NORTH LAS VEGAS,36,-115,385 W. Centennial Parkway,89084,
58,A9104161,Combined elem/sec,,,SHILOH CHRISTIAN SCHOOL,ND,BURLEIGH,BISMARK,47,-101,1915 SHILOH DR,58503,1
59,A1101154,Elementary,,,FLORENCE M. LOMBARD CHRISTIAN SCHOOL,ME,YORK,SACO,44,-70,PO BOX 1298,4072,1
60,560073000011,Elementary,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,Harmony Elementary,WY,ALBANY COUNTY,LARAMIE,41,-106,20 Lewis Road,82070,
61,363012004057,High,3630120,WATERTOWN CITY SCHOOL DISTRICT,WATERTOWN SENIOR HIGH SCHOOL,NY,JEFFERSON COUNTY,WATERTOWN,44,-76,1335 WASHINGTON ST,13601,
62,450366001048,Elementary,4503660,SPARTANBURG 07,Mary H. Wright Elementary,SC,SPARTANBURG COUNTY,SPARTANBURG,35,-82,457 South Church Street,29306,
63,A1703794,Elementary,,,ALLEGHENY CHRISTIAN SCHOOL,WV,POCAHONTAS,BOYER,38,-80,64 SHEETS RD,99999,1
64,A0303292,Elementary,,,MEDINA ACADEMY,WA,KING,BELLEVUE,48,-122,16242 NORTHUP WAY,98008,1
65,550882001019,Elementary,5508820,MARSHFIELD UNIFIED SCHOOL DISTRICT,Madison Elementary,WI,WOOD COUNTY,MARSHFIELD,45,-90,510 N Palmetto Ave,54449,
66,080306001379,Elementary,803060,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,KING ELEMENTARY SCHOOL,CO,EL PASO COUNTY,COLORADO SPRINGS,39,-105,6110 SAPPORO DRIVE,80918,
67,A1100924,Elementary,,,KONA ADVENTIST CHRISTIAN SCHOOL,HI,HAWAII,CAPTAIN COOK,19,-156,PO BOX 739,96704,1
68,00249613,Elementary,,,ST PETER CATHEDRAL SCHOOL,DE,NEW CASTLE,WILMINGTON,40,-76,310 W 6TH ST,19801,1
69,370035003296,Elementary,3700350,ARISTOTLE PREPARATORY ACADEMY,Aristotle Preparatory Academy,NC,MECKLENBURG COUNTY,CHARLOTTE,35,-81,8101 Fallsdale Drive,28214,
70,090136001507,High,901360,EASTERN CONNECTICUT REGIONAL,Arts at the Capitol Theater Magnet School (ACT),CT,WINDHAM COUNTY,WILLIMANTIC,42,-72,896 Main Street,6226,
71,480005412152,Middle,4800264,KIPP TEXAS PUBLIC SCHOOLS,KIPP SHARPSTOWN COLEGE PREP,TX,,HOUSTON,30,-96,8440 WESTPARK DR,77063,
72,090003101405,High,900031,STAMFORD ACADEMY,Stamford Academy,CT,FAIRFIELD COUNTY,STAMFORD,41,-74,229 North St.,6901,
73,370472002682,Middle,3704720,WAKE COUNTY SCHOOLS,Heritage Middle,NC,WAKE COUNTY,WAKE FOREST,36,-79,3400 Rogers Road,27587,
74,490063001390,Middle,4900630,NEBO DISTRICT,Salem Junior High,UT,UTAH COUNTY,SALEM,40,-112,598 NORTH MAIN,84653,
75,01433634,Combined elem/sec,,,BROADWATER ACADEMY,VA,NORTHAMPTON,EXMORE,38,-76,3500 BROADWATER RD,23350,1
76,A9102801,Combined elem/sec,,,FELLOWSHIP BAPTIST SCHOOL,KS,SEWARD,LIBERAL,37,-101,PO BOX 393,67905,1
77,100001000079,Elementary,1000010,EDISON (THOMAS A.) CHARTER SCHOOL,Edison (Thomas A.) Charter School,DE,NEW CASTLE COUNTY,WILMINGTON,40,-76,2200 North Locust Street,19802,
78,410192001791,Elementary,4101920,BEAVERTON SD 48J,Arco Iris Spanish Immersion School,OR,WASHINGTON COUNTY,BEAVERTON,45,-123,13600 SW Allen Blvd,97005,
79,530669002266,Elementary,5306690,PENINSULA SCHOOL DISTRICT,Voyager Elementary,WA,PIERCE COUNTY,GIG HARBOR,47,-123,5615 Kopachuck Dr NW,98335,
80,360012805750,Middle,3600128,KIPP TECH VALLEY CHARTER SCHOOL,KIPP TECH VALLEY CHARTER SCHOOL,NY,ALBANY COUNTY,ALBANY,43,-74,321 NORTHERN BLVD,12201,
81,A0509226,Combined elem/sec,,,RIVERSTONE MONTESSORI ACADEMY,GA,COBB,MARIETTA,34,-85,455 CASTEEL RD SW,30064,1
82,421899007548,High,4218990,PHILADELPHIA CITY SD,The Workshop School,PA,PHILADELPHIA COUNTY,PHILADELPHIA,40,-75,221 S Hanson St,19139,
83,A0109621,Elementary,,,THADDEUS STEVENS SCHOOL,VT,CALEDONIA,LYNDON CENTER,45,-72,PO BOX 274,5850,1
84,220054000673,Middle,2200540,EAST BATON ROUGE PARISH,Community School For Apprenticeship Learning,LA,EAST BATON ROUGE PARISH,BATON ROUGE,30,-91,1555 Madison Ave,70802,
85,550039002549,High,5500390,APPLETON AREA SCHOOL DISTRICT,Appleton eSchool,WI,OUTAGAMIE COUNTY,APPLETON,44,-88,2121 Emmers Dr,54915,
86,510126000516,High,5101260,FAIRFAX CO PBLC SCHS,LAKE BRADDOCK SECONDARY,VA,FAIRFAX COUNTY,BURKE,39,-77,9200 Burke Lake Rd,22015,
87,340075903196,Elementary,3400759,BELOVED COMMUNITY CHARTER SCHOOL,BelovED Community Charter School,NJ,HUDSON COUNTY,JERSEY CITY,41,-74,508 Grand Street,7302,
88,530591000891,Middle,5305910,NORTHSHORE SCHOOL DISTRICT,Northshore Middle School,WA,KING COUNTY,BOTHELL,48,-122,12101 NE 160 ST,98011,
89,02001352,Elementary,,,ANCHOR LUTHERAN SCHOOL,AK,ANCHORAGE,ANCHORAGE,61,-150,8100 ARCTIC BLVD,99518,1
90,530033303541,Middle,5300333,SUMMIT PUBLIC SCHOOL: OLYMPUS,Summit Public School: Olympus,WA,PIERCE COUNTY,TACOMA,47,-122,409 Puyallup Ave,98421,
91,080336006645,Middle,803360,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,COMPASS ACADEMY,CO,DENVER COUNTY,DENVER,40,-105,911 SOUTH HAZEL COURT,80219,
92,BB140358,Combined elem/sec,,,LOVELAND ACADEMY,HI,HONOLULU,KAILUA,21,-158,PO BOX 339,96734,1
93,500824400344,High,5000393,MILL RIVER UNIFIED SCHOOL DISTRICT,Mill River Union High School,VT,RUTLAND COUNTY,NORTH CLARENDON,44,-73,2321 Middle Road,5759,
94,040817001149,Middle,408170,SUNNYSIDE UNIFIED DISTRICT (4407),Sierra 2-8 School,AZ,PIMA COUNTY,TUCSON,32,-111,5801 S DEL MORAL BLVD,85706,
95,201062000678,High,2010620,PERRY PUBLIC SCHOOLS,Perry Lecompton High,KS,JEFFERSON COUNTY,PERRY,39,-95,404 Lecompton Rd,66073,
96,540123001012,Elementary,5401230,RALEIGH COUNTY SCHOOLS,STRATTON ELEMENTARY,WV,RALEIGH COUNTY,BECKLEY,38,-81,1129 SOUTH FAYETTE STREET,25801,
97,010294001144,Elementary,102940,SCOTTSBORO CITY,Brownwood Elementary School,AL,JACKSON COUNTY,SCOTTSBORO,35,-86,305 Bingham St,35768,
98,401575000741,Elementary,4015750,JENNINGS,JENNINGS PUBLIC SCHOOL,OK,PAWNEE COUNTY,JENNINGS,36,-97,475 North Oak Street,74038,
99,A9103900,Combined elem/sec,,,PINEHAVEN CHRISTIAN CHILDRENS RANCH,MT,LAKE,SAINT IGNATIUS,47,-114,PO BOX 940,59865,1
100,381299000431,High,3812990,MINNEWAUKAN 5,MINNEWAUKAN HIGH SCHOOL,ND,BENSON COUNTY,MINNEWAUKAN,48,-99,4675 Hwy 281 N,58351,
101,A0301625,Elementary,,,ISLAMIC SCHOOL OF LOUISVILLE,KY,JEFFERSON,LOUISVILLE,38,-86,8215 OLD WESTPORT RD,40222,1
102,250711001085,Elementary,2507110,LYNN,Tracy,MA,ESSEX COUNTY,LYNN,42,-71,35 Walnut Street,1905,
103,330654000431,High,3306540,SUNAPEE SCHOOL DISTRICT,Sunapee Sr. High School,NH,SULLIVAN COUNTY,SUNAPEE,43,-72,10 North Rd.,3782,
104,450111000941,Elementary,4501110,BEAUFORT 01,Hilton Head Island Early Childhood Center,SC,BEAUFORT COUNTY,HILTON HEAD ISLAND,32,-81,165 Pembroke Drive,29926,
105,240009000196,Elementary,2400090,BALTIMORE CITY PUBLIC SCHOOLS,Eutaw-Marshburn Elementary,MD,BALTIMORE CITY,BALTIMORE,39,-77,1624 Eutaw Pl,21217,
106,A9902654,Combined elem/sec,,,GRACE BAPTIST ACADEMY,MS,JACKSON,OCEAN SPRINGS,30,-89,3707 BIENVILLE BLVD,39564,1
107,340078803423,High,3400788,LEAD CHARTER SCHOOL,LEAD Charter School,NJ,ESSEX COUNTY,NEWARK,41,-74,201 Bergen Street,7103,
108,350225000826,Middle,3502250,ROSWELL INDEPENDENT SCHOOLS,SIDNEY GUTIERREZ MIDDLE,NM,CHAVES COUNTY,ROSWELL,33,-105,69 E. GAIL HARRIS,88203,
109,110003000191,Middle,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Stuart-Hobson MS (Capitol Hill Cluster),DC,DISTRICT OF COLUMBIA,WASHINGTON,39,-77,410 E St NE,20002,
110,00735498,Combined elem/sec,,,WINONA CHRISTIAN SCHOOL,MS,MONTGOMERY,WINONA,33,-90,1014 S APPLEGATE,38967,1
111,440002900494,Elementary,4400029,RISE PREP MAYORAL ACADEMY,RISE Prep Mayoral Academy,RI,PROVIDENCE COUNTY,WOONSOCKET,42,-72,1 Social Street,2895,
112,A9105330,Combined elem/sec,,,SUMMIT CHRISTIAN ACADEMY,OK,TULSA,BROKEN ARROW,36,-96,200 E BROADWAY ST,74012,1
113,A0702309,Combined elem/sec,,,LIAHONA PREPARATORY ACADEMY,UT,UTAH,PLEASANT GROVE,40,-112,2464 W 450 S,84062,1
114,480021113815,Middle,4800211,IDEA PUBLIC SCHOOLS,IDEA KYLE COLLEGE PREPARATORY,TX,,KYLE,,,640 PHILOMENA DR,78640,
115,450090001602,High,4500900,ANDERSON 05,Anderson  Five Charter School,SC,ANDERSON COUNTY,ANDERSON,34,-83,1225 South McDuffie Street,29624,
116,490007101178,Elementary,4900071,CANYON RIM ACADEMY,Canyon Rim Academy,UT,SALT LAKE COUNTY,SALT LAKE CITY,41,-112,3005 S 2900 E,84109,
117,A9104551,Combined elem/sec,,,FARMINGTON MENNONITE SCHOOL,NM,SAN JUAN,FARMINGTON,37,-108,26 RD 5577,87401,1
118,420076006107,High,4200760,BOYS LATIN OF PHILADELPHIA CS,Boys Latin of Philadelphia CS,PA,PHILADELPHIA COUNTY,PHILADELPHIA,40,-75,5501 Cedar Avenue,19143,
119,01264459,Combined elem/sec,,,THOMAS SUMTER ACADEMY,SC,SUMTER,REMBERT,34,-80,5265 CAMDEN HWY,29128,1
120,551578003380,High,5515780,WAUKESHA SCHOOL DISTRICT,eAchieve Academy - Wisconsin,WI,WAUKESHA COUNTY,WAUKESHA,43,-88,222 Maple Ave,53186,
121,00909795,Combined elem/sec,,,EVANGEL CHRISTIAN ACADEMY,NM,BERNALILLO,ALBUQUERQUE,35,-107,4501 MONTGOMERY BLVD NE,87109,1
122,A1703875,Combined elem/sec,,,GREEN RIVER CHRISTIAN ACADEMY,WY,SWEETWATER,GREEN RIVER,42,-109,800 HOMESTEAD DR,82935,1
123,02023387,Combined elem/sec,,,LOGOS SCHOOL,ID,LATAH,MOSCOW,47,-117,110 BAKER ST,83843,1
124,450231000961,Middle,4502310,GREENVILLE 01,Langston Charter Middle,SC,GREENVILLE COUNTY,GREENVILLE,35,-82,1950 Woodruff Road,29607,
125,110003000111,Elementary,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Bunker Hill ES,DC,DISTRICT OF COLUMBIA,WASHINGTON,39,-77,1401 Michigan Ave NE,20017,
126,200426001161,High,2004260,BURLINGAME PUBLIC SCHOOL,Burlingame Junior/Senior High,KS,OSAGE COUNTY,BURLINGAME,39,-96,417 North Dacotah,66413,
127,00909106,Elementary,,,SAN FELIPE DE NERI SCHOOL,NM,BERNALILLO,ALBUQUERQUE,35,-107,2000 LOMAS BLVD NW,87104,1
128,00331112,Combined elem/sec,,,GRACE LUTHERAN SCHOOL,ID,BANNOCK,POCATELLO,43,-112,1350 BALDY AVE,83201,1
129,411317001786,High,4113170,WEST LINN-WILSONVILLE SD 3J,Arts and Technology High School,OR,CLACKAMAS COUNTY,WILSONVILLE,45,-123,29796 SW Town Center Loop,97070,
130,A0900683,Combined elem/sec,,,CHARTER OAK EDUCATION DBA STERLING EAST,CT,HARTFORD,BLOOMFIELD,42,-73,1294 BLUE HILLS AVE UNIT C,6002,1
131,300993000277,High,3009930,ENNIS K-12 SCHOOLS,Ennis High School,MT,MADISON COUNTY,ENNIS,45,-112,223 Charles Ave,59729,
132,273180001009,Elementary,2731800,ROCHESTER PUBLIC SCHOOL DISTRICT,PINEWOOD ELEMENTARY,MN,OLMSTED COUNTY,ROCHESTER,44,-92,1900 PINEWOOD RD SE,55904,
133,00937257,Elementary,,,ST PAUL LUTHERAN SCHOOL,NY,MONROE,HILTON,43,-78,158 EAST AVE,14468,1
134,390136605556,High,3901366,HORIZON SCIENCE ACADEMY DAYTON HIGH SCHOOL,Horizon Science Academy Dayton High School,OH,MONTGOMERY COUNTY,DAYTON,40,-84,250 Shoup Mill Rd,45415,
135,A1171769,Combined elem/sec,,,THE AUBURN SCHOOL,VA,FAIRFAX,CHANTILLY,39,-77,3800 CONCORDE PKWY STE 500,20151,1
136,01042866,Elementary,,,ST JOHN'S ACADEMY,ND,STUTSMAN,JAMESTOWN,47,-99,215 5TH ST SE,58401,1
137,00023866,Combined elem/sec,,,ANCHORAGE CHRISTIAN SCHOOLS,AK,ANCHORAGE,ANCHORAGE,61,-150,6575 E NORTHERN LIGHTS BLVD,99504,1
138,050435000163,Elementary,504350,CLARENDON SCHOOL DISTRICT,CLARENDON ELEMENTARY SCHOOL,AR,MONROE COUNTY,CLARENDON,35,-91,115 EASON LN,72029,
139,231386000638,High,2313860,WINSLOW SCHOOLS,Winslow High School,ME,KENNEBEC COUNTY,WINSLOW,45,-70,20 Danielson St,4901,
140,00326179,Elementary,,,OUR LADY OF GOOD COUNSEL SCHOOL,HI,HONOLULU,PEARL CITY,21,-158,1530 HOOLANA ST,96782,1
141,160018301098,High,1600183,PATHWAYS IN EDUCATION - NAMPA INC.,PATHWAYS IN EDUCATION: NAMPA,ID,CANYON COUNTY,NAMPA,44,-117,124 HOLLY STREET,83686,
142,340007300531,High,3400073,UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,University Academy Charter High School,NJ,HUDSON COUNTY,JERSEY CITY,41,-74,275 WEST SIDE AVENUE,7305,
143,A0701522,Elementary,,,LITTLE FLOWER MONTESSORI SCHOOL,NJ,MIDDLESEX,EDISON,41,-74,6 KILMER RD STE O,8817,1
144,A9902658,Elementary,,,NEW HOPE CHRISTIAN SCHOOL,MS,HINDS,JACKSON,32,-90,5202 WATKINS DR,39206,1
145,317263001119,Elementary,3176470,SCOTTSBLUFF PUBLIC SCHOOLS,LAKE MINATARE SCHOOL,NE,SCOTTS BLUFF COUNTY,MINATARE,42,-104,280548 COUNTY ROAD K,69356,
146,360104106263,High,3601041,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES,NY,NEW YORK COUNTY,BRONX,41,-74,99 TERRACE VIEW AVE-RM 360,10463,
147,180822001409,Elementary,1808220,NORTHERN WELLS COMMUNITY SCHOOLS,Lancaster Central School,IN,WELLS COUNTY,BLUFFTON,41,-85,3240 E 300 N,46714,
148,293146002180,Elementary,2931460,WEAUBLEAU R-III,WEAUBLEAU ELEM.,MO,HICKORY COUNTY,WEAUBLEAU,38,-94,509 N CENTER,65774,
149,120039008463,Elementary,1200390,MIAMI-DADE,MATER INTERNATIONAL ACADEMY,FL,MIAMI-DADE COUNTY,MIAMI,26,-80,3405 NW 27TH AVE,33142,
150,130183003342,Elementary,1301830,DOUGHERTY COUNTY,Robert H Harvey Elementary School,GA,DOUGHERTY COUNTY,ALBANY,32,-84,1305 E 2nd Ave,31705,
151,170993006490,High,1709930,CITY OF CHICAGO SD 299,YCCS-Progressive Leadership Acad,IL,COOK COUNTY,CHICAGO,42,-88,6620 S Dr M L K Dr,60637,
152,330405000202,High,3304050,KEENE SCHOOL DISTRICT,Keene High School,NH,CHESHIRE COUNTY,KEENE,43,-72,43 Arch St.,3431,
153,160096001045,High,1600960,PRESTON JOINT DISTRICT,SOUTHEAST IDAHO PROFESSIONAL TECHNICAL SCHOOL,ID,ONEIDA COUNTY,MALAD CITY,42,-112,25 EAST 50 SOUTH SUITE A,83252,
154,080399000521,Elementary,803990,POUDRE SCHOOL DISTRICT R-1,BENNETT ELEMENTARY SCHOOL,CO,LARIMER COUNTY,FORT COLLINS,41,-105,1125 BENNETT ROAD,80521,
155,A9902961,Elementary,,,WHITE MOUNTAIN WALDORF SCHOOL,NH,CARROLL,CONWAY,44,-71,PO BOX 1069,3818,1
156,010117002090,High,101170,DECATUR CITY,Horizon High School,AL,MORGAN COUNTY,DECATUR,35,-87,809 Church St NE,35601,
157,330459000249,Elementary,3304590,MANCHESTER SCHOOL DISTRICT,Hallsville School,NH,HILLSBOROUGH COUNTY,MANCHESTER,43,-71,275 Jewett St.,3103,
158,020060000269,Elementary,200600,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Joy Elementary,AK,FAIRBANKS NORTH STAR BOROUGH,FAIRBANKS,65,-148,24 Margaret St,99701,
159,370114003257,High,3701140,DAVIDSON COUNTY SCHOOLS,Yadkin Valley Regional Career Academy,NC,DAVIDSON COUNTY,LEXINGTON,36,-80,2065 E. Holly Grove Road,27292,
160,290843000246,High,2908430,CHADWICK R-I,CHADWICK HIGH,MO,CHRISTIAN COUNTY,CHADWICK,37,-93,7090 STATE HWY 125 S,65629,
161,381988000882,Middle,3819880,WILLISTON 1,BAKKEN ELEMENTARY SCHOOL,ND,WILLIAMS COUNTY,WILLISTON,48,-104,502 W Highland Dr,58801,
